UPC,Mercado,Sub-Mercado,Atributo Categoria,Laboratorio,Laboratorio Completo,DESCRIPCION,SUN FILE,PAIS,MINERAL / NO MINERAL,TRACKER,TRACKER DESCRIPCION
92733,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV CRA HYALU MASK SPECIALIST 50ML,,MEXICO,,,
92740,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIVE SERUM 10 SUPREME C/DISP 30ML,,MEXICO,,,
92741,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY IDEALIA SERUM A/OXIDANTE 30ML,,MEXICO,,,
92752,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY C SOLEIL LECHE BEACH MULTI PROTEC F50 200,,MEXICO,,,
92753,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY C SOLEIL LECHE BEACH MULTI PROTEC F30 200,,MEXICO,,,
92754,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY IDEAL SOLEILKIT CRA T/SEC F50 50ML+REGALO,Normal to Acne Prone Skin,MEXICO,,,
92755,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY IDEAL SOLEILKIT CRA T/SEC COLOR F50 50ML+REG,Normal to Acne Prone Skin,MEXICO,,,
92756,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY IDEALIA KIT MAMA 19 CRA 50ML+PROMO,,MEXICO,,,
92757,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 SOL ACID HYAL 75ML,,MEXICO,,,
92758,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV KIT MAMA 19 CRA 15M+M 89+PS,,MEXICO,,,
92759,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL MAKIT MAMA 19 CRA 30ML+M 89+PROMO,,MEXICO,,,
92760,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY SLOW AGE KIT MAMAS 2019 CRA 40ML+PROMO,,MEXICO,,,
92761,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL KIT MAMAS 2019 CRA CS 30ML+REGAL,,MEXICO,,,
92762,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY C SOLEIL KIT MAMAS 2019 CRA 50ML+PROMO,Normal to Acne Prone Skin,MEXICO,,,
92763,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,VICHY NORMADERM GEL PHYTOSOLUTIONS LIMP PROFUNDO,,MEXICO,,,
92764,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM GEL PHYTOSOLUTIONS PURIFICANTE I,,MEXICO,,,
92765,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY IDEAL SOLEILKIT BLOQ FAMILY F50 300ML+2 REGA,,MEXICO,,,
92766,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 SERUM CONT/OJOS 15ML,,MEXICO,,,
92768,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM GEL PHYTOSOLUTIONS DOUBLE CORREC,,MEXICO,,,
92775,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY MINERALBLENDMAQ FLUIDO TONO 09 AGATE 30ML,Sensitive Skin/ basic sun protection,MEXICO,,,
92777,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY MINERALBLENDMAQ FLUIDO TONO 12 SIENNA 30ML,Sensitive Skin/ basic sun protection,MEXICO,,,
92778,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM KIT GEL PHYTOS PURIF 400ML+GEL 1,,MEXICO,,,
92779,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM KIT GEL 400ML+TRAT GEL+PROMO,,MEXICO,,,
92780,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL KIT CRA CS 30ML+CRA OJOS 15ML,,MEXICO,,,
92781,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL MAKIT CRA 30ML+CRA OJOS 15ML,,MEXICO,,,
92782,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY SLOW AGE KIT 40ML+CRA OJOS 15ML,,MEXICO,,,
92783,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV KIT CRA 50ML+LIFT OJOS 15ML+PROM,,MEXICO,,,
92784,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 SERUM CONCENTRADO FORT 75ML,,MEXICO,,,
92785,FACE,SENSITIVE SKIN,SENSITIVE SKIN,VICHY,VICHY,VICHY P THERMALE AGUA MICELAR DESM MINERAL 400ML,,MEXICO,,,
92786,FACE,SENSITIVE SKIN,SENSITIVE SKIN,VICHY,VICHY,VICHY P THERMALE AGUA MICELAR DESM MINERAL 200ML,,MEXICO,,,
92787,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY SLOW AGE KIT CRA 40ML+CRA OJOS 15ML+2 PRO,,MEXICO,,,
92788,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL MAKIT CRA 30ML+OJOS /LAB+MIN 89+CP,,MEXICO,,,
92789,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL KIT SERUM 30ML+PROMO,,MEXICO,,,
92790,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIVE KIT SERUM 30ML+PROMO,,MEXICO,,,
92791,FACE,SENSITIVE SKIN,SENSITIVE SKIN,VICHY,VICHY,VICHY P THERMALE SOL BIFASICO DESM OJOS WATER PR,,MEXICO,,,
92792,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV KIT CRA DE DIA 50ML+MINI 15ML,,MEXICO,,,
92793,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV KIT CRA DE DIA 50ML+MINI 15ML,,MEXICO,,,
92794,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,VICHY NORMADERM KIT GEL PHYTOS PURIF 400ML+2 MIN,,MEXICO,,,
92795,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,VICHY NORMADERM KIT GEL PHYTOS PURIF 400ML+GEL 5,,MEXICO,,,
92796,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY C SOLEIL CRA MATIFIANT F50 50ML,Sensitive Skin/ basic sun protection,MEXICO,,,
92800,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY IDEAL SOLEILKIT 2019 BLOQ FAMILY F50 300ML+A,,MEXICO,,,
92801,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY IDEAL SOLEILKIT 2019 CRA T/SEC F50 50ML+A/TH,Normal to Acne Prone Skin,MEXICO,,,
92802,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY IDEAL SOLEILKIT 2019 CRA T/SEC COLOR F50 50M,Normal to Acne Prone Skin,MEXICO,,,
92803,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 KIT 2019 CRA MIN 50ML+AQUALIA 15,,MEXICO,,,
92804,FACE,SENSITIVE SKIN,SENSITIVE SKIN,VICHY,VICHY,VICHY AQ THERMAL KIT 2019 CRA C/OJOS 15ML+MINERAL,,MEXICO,,,
92805,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY IDEALIA KIT 2019 CRA C/OJOS 15ML+MINERAL,,MEXICO,,,
92806,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV KIT 2019 CRA CONT/OJOS 15ML+AGUA,,MEXICO,,,
92807,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY SLOW AGE KIT 2019 CRA OJOS 15ML+A/THERM,,MEXICO,,,
92808,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL KIT 2019 TRAT CONT/OJOS LABIOS 1,,MEXICO,,,
92809,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIVE PATCH MICRO HYALU EYE C/2 PZS,,MEXICO,,,
92810,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,VICHY NORMADERM KIT 2019 GEL LIMP 400ML + GEL 10,,MEXICO,,,
92811,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM KIT 2019 CRA SKIN 40GR+GEL+GEL 2,,MEXICO,,,
92816,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 KIT SERUM 50ML+M 89 OJOS 15ML 30,,MEXICO,,,
92822,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY L AMPS SPECIALIST GLYCO-C PEELING,,MEXICO,,,
92823,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY L AMPS SPECIALIST GLYCO-C PEELING,,MEXICO,,,
92824,FACE,SENSITIVE SKIN,SENSITIVE SKIN,VICHY,VICHY,VICHY P THERMALE AGUA MICELAR MINERAL CARA Y OJOS,,MEXICO,,,
92825,FACE,SENSITIVE SKIN,SENSITIVE SKIN,VICHY,VICHY,VICHY P THERMALE AGUA MICELAR MINERAL CARA Y OJOS,,MEXICO,,,
92826,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV CRA COLLAGEN SPECIALIST F30 50ML,,MEXICO,,,
92827,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIVE KIT SERUM 30M+CRA OJOS+CRA DIA,,MEXICO,,,
92828,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL KIT CRA CS 50ML+CRA OJOS+CRA DIA,,MEXICO,,,
92829,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL MAKIT CRA 50ML+CRA OJOS+CRA DIA,,MEXICO,,,
92830,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY SLOW AGE KIT CRA 40ML+CRA OJOS+CRA DIA,,MEXICO,,,
92831,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY IDEAL SOLEILKIT CRA A/MANCHAS F50 50ML+MIN 4,Spots Related Sun protection,MEXICO,,,
92832,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY IDEAL SOLEILKIT CRA A/EDAD F50 50ML+MIN 4ML+,Age Related Sun Protection,MEXICO,,,
92833,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV KIT FLUIDO 50ML C/3PZS,,MEXICO,,,
92834,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL KIT SERUM CS 50ML+CRA SOLAR+DERM,,MEXICO,,,
92835,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY C SOLEIL KIT BLOQ FAMILY F50 300L+AFTER S,,MEXICO,,,
92836,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY C SOLEIL KIT BLOQ T/SEC F50 50ML+M89 3ML+,Normal to Acne Prone Skin,MEXICO,,,
92837,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY C SOLEIL BB KIT BLOQ T/SEC F50 40ML+M89 3ML+,Normal to Acne Prone Skin,MEXICO,,,
92838,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY C SOLEIL KIT FLU MAT OIL CONTR F50 3EN1 5,,MEXICO,,,
92839,SUN,SUN KIDS,SUN KIDS,VICHY,VICHY,VICHY C SOLEIL CRA BLOQ WET SKIN KIDS F50 200ML,,MEXICO,NON MINERAL,,
92840,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM CRA LIMP PHYTOSOLUCION ARCILLA 1,,MEXICO,,,
92841,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,VICHY MINERAL 89 MASC FORTIFICANTE Y RECUPERANTE,,MEXICO,,,
92842,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,VICHY NORMADERM KIT GEL PHYTO 400ML+PROMO,,MEXICO,,,
92843,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM KIT GEL PHYTO DOBLE CORRECT 50ML,,MEXICO,,,
92844,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY L KIT SUPREME SERUM 30ML+CRA DIA,,MEXICO,,,
92845,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL KIT SERUM CS 50ML+CRA DIA,,MEXICO,,,
92846,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL MAKIT CRA 50ML+CRA OJOS,,MEXICO,,,
92847,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY SLOW AGE KIT CRA 40ML+CRA OJOS+MASC,,MEXICO,,,
92848,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV KIT PROTO VIT C 15ML+COLLAGEN 50,,MEXICO,,,
92849,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 KIT PROTO SERUM 50ML+CRA OJOS 15,,MEXICO,,,
92850,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL KIT PROTO PHYTO 50ML+CS 50ML+CAP,,MEXICO,,,
92851,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,VICHY NORMADERM KIT PROTO ACIDO S GEL LIMP+PHYTO,,MEXICO,,,
92852,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV AMP DUO C/20PZS,,MEXICO,,,
92853,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 SERUM EDIC ESPECIAL 75ML,,MEXICO,,,
92854,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM KIT CRA 400ML+AGUA MICELAR 50ML,,MEXICO,,,
92855,FACE,ACNE,ACNE CLEANS,VICHY,VICHY,VICHY NORMADERM KIT PROTO PHYTO 50ML+GEL+CAP SOL,,MEXICO,,,
92856,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV SERUM SUPREME HA EPIDERMIC A/EDA,,MEXICO,,,
92857,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY C SOLEIL KIT CRA FAMILY PROT F50 300ML+A/,,MEXICO,,,
92858,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY C SOLEIL KIT CRA T/SEC F50 50ML+A/MIC 100,Normal to Acne Prone Skin,MEXICO,,,
92859,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY C SOLEIL KIT CRA T/SEC COLOR F50 50ML+A/M,Normal to Acne Prone Skin,MEXICO,,,
92860,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY C SOLEIL KIT CRA MAT 3 EN 1 50ML+GEL NORM,Sensitive Skin/ basic sun protection,MEXICO,,,
92861,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY C SOLEIL SPRAY UV-AGE F50 40ML,Age Related Sun Protection,MEXICO,,,
92862,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY IDEAL SOLEILCRA CORP LAIT VISAGE F50 200ML,,MEXICO,,,
92863,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 SERUM PROBIOTIC FRACTIONS 30ML,,MEXICO,,,
92864,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY C SOLEIL KIT CRA BLOQ T/SEC COLOR F50 50M,Normal to Acne Prone Skin,MEXICO,,,
92865,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY C SOLEIL KIT CRA BLOQ T/SEC F50 50ML+COSM,Normal to Acne Prone Skin,MEXICO,,,
92866,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY C SOLEIL KIT CRA FAMILY F50 300ML+CERAVE,,MEXICO,,,
92867,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,VICHY LIFTACTIV KIT CRA COLLAGEN SPECN50ML+CRA L,,MEXICO,,,
92868,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,VICHY NEOVADIOL MAKIT CRA 50ML+AMP LIFT GLYCO 2PZS,,MEXICO,,,
92869,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,VICHY LIFTACTIV KIT CRA SUPREME 50ML+2 AMPS GLYC,,MEXICO,,,
92870,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY C SOLEIL KIT CRA A/EDAD 50ML+ 2 AMP LIFT,Age Related Sun Protection,MEXICO,,,
92871,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,RESTO,VICHY C SOLEIL KIT CRA A/MANCHAS 50ML+2 AMPS LI,,MEXICO,,,
92872,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 KIT SERUM FAC 50ML+CRA OJOS 15ML,,MEXICO,,,
92873,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY KIT HA FILLER RELLENADOR C/2PZS,,MEXICO,,,
92874,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY C SOLEIL KIT CRA FAMILY 200ML+A/MIC PURET,,MEXICO,,,
92875,SUN,SUN FACE,SUN FACE NON TINTED,VICHY,VICHY,VICHY C SOLEIL KIT CRA MATIF 50ML+GEL NORMADERM,Sensitive Skin/ basic sun protection,MEXICO,,,
92876,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY C SOLEIL KIT CRA T/SEC C/COLOR 50ML+A/MIC,Normal to Acne Prone Skin,MEXICO,,,
92877,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY C SOLEIL KIT CRA T/SEC S/COLOR 50ML+A/MIC,Normal to Acne Prone Skin,MEXICO,,,
92878,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 KIT SERUM 50ML+CS UV AGE 3ML,,MEXICO,,,
92879,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM KIT GEL LIMP 400ML+GEL PHYS+CS M,,MEXICO,,,
92880,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM KIT GEL 400ML+PHYTO GEL 50ML+TRA,,MEXICO,,,
92881,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY NORMADERM KIT PHYTOSOLUTION 50ML+GEL 50ML+,,MEXICO,,,
92882,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV KIT VIT C SHOT ANTI-OX 10ML+MINI,,MEXICO,,,
92883,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIVE KIT SERUM SUP EPID 30ML+MINI 89,,MEXICO,,,
92884,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY KIT PROTOCOLO+PROMO,,MEXICO,,,
92885,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 KIT SERUM 50ML+LIFT PEPTIDE 1.8M,,MEXICO,,,
92886,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV KIT PROTOCOLO SUPREME A/ARRUGAS+,,MEXICO,,,
92887,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY MINERAL 89 KIT SERUM 50ML+MINI+COSM,,MEXICO,,,
92888,SUN,SUN BODY,SUN BODY,VICHY,VICHY,VICHY C SOLEIL KIT CRA FAMILY 300ML+A/THERM 50M,,MEXICO,,,
92889,FACE,ACNE,ACNE TREATMENT,VICHY,VICHY,VICHY C SOLEIL KIT CRA MATIF 50ML+GEL NORMADERM,,MEXICO,,,
92890,FACE,ACNE,ACNE TREATMENT,OTROS LAB,VICHY,VICHY NORMADERM KIT TRAT 30ML+GEL 50ML+CS MATIF,,MEXICO,,,
92891,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY LIFTACTIV SERUM SPECIALIST B3 30ML,,MEXICO,,,
92892,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL CRA PERI MENO DAY 50ML,,MEXICO,,,
92893,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL CRA PERI MENO NIGHT 50ML,,MEXICO,,,
92894,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NEOVADIOL CRA POST MENO ANTI SAGGINESS DAY,,MEXICO,,,
92895,SUN,SUN FACE,SUN FACE TINTED,VICHY,VICHY,VICHY C SOLEIL FLUIDO SPRAY UV-AGE DAILY COLOR,Age Related Sun Protection,MEXICO,,,
92896,FACE,ANTI-AGE,ANTI-AGE,VICHY,VICHY,VICHY NORMADERM SERUM PROBIO BHA 30ML,,MEXICO,,,
92904,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,NOVEANE PREMIUM CRA CONT/OJOS 15ML,,MEXICO,,,
94200,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,RESTO,SOPHARMA PH5 CRA LIQ CORP 270ML,,MEXICO,,,
94201,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,RESTO,SOPHARMA PH5 CRA TARRO SOLIDA EFECT MATE 260G,,MEXICO,,,
94202,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,RESTO,SOPHARMA PH5 GEL DUCHA PIEL SENSIBLE 200ML,,MEXICO,,,
99404,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,RESTO,DERMEDEN CRA PARA MANOS 50ML,,MEXICO,,,
99405,FACE,ANTI-AGE,ANTI-AGE,CERAVE,CERAVE,DERMEDEN SERUM NIGHT PROTOC INTENSE 30ML,,MEXICO,,,
99406,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,DERMEDEN CRA MASK FAC DETOX 50ML,,MEXICO,,,
99410,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,DERMEDEN LECHE LOC COMPLETE CLEANSER 2-1,,MEXICO,,,
99411,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,DERMEDEN CRA DAY PROTOCOLE F50 50ML,,MEXICO,,,
99412,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,DERMEDEN CRA DAY PROTOCOLE P/MIXTA F50 50,,MEXICO,,,
101201,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,PURE VITAMIN C10 KIT SERUM 30ML+A/MIC 50ML+ANTH 3,,MEXICO,,,
101202,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,LRP PURE VIT C10 KIT SERUM 50ML+AGUA MIC 50ML+FLU,,MEXICO,,,
101203,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,LRP PURE VIT C10 KIT SERUM 50ML+ANTHE+A/MIC 50ML,,MEXICO,,,
101204,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,LA ROCHE POSAY,LA ROCHE POSAY,LRP PURE NIACINAMIKIT SERUM 10 30ML+ANTHELIOS+A/MI,,MEXICO,,,
109700,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,HYDRABIO MASK MASC HIDRAT 75ML,,MEXICO,,,
109800,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,RETINOL B3 KIT SERUM 30ML+A/MIC 50ML+ANTH 3,,MEXICO,,,
109801,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,LRP RETINOL B3 KIT SERUM 30ML+ FLUIDO ANTHEL+AG,,MEXICO,,,
109802,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,LRP RETINOL B3 KIT SERUM 30ML+ FLUIDO ANTHEL+AG,,MEXICO,,,
119900,FACE,ACNE,ACNE CLEANS,OTROS LAB,RESTO,ASTRIDERM A LOC IMPERFECCIONES 250ML,,MEXICO,,,
120017,FACE,SENSITIVE SKIN,SENSITIVE SKIN,BIODERMA,BIODERMA,ABCDERM H2O AGUA MICELAR 1LT,,MEXICO,,,
120100,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,ABRADERMOL CRA 45 GR,,MEXICO,,,
123802,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,CREMA UV 1 40 ML,,CAM,,,
123803,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,CR.CONT.OJOS 1 15 ML,,CAM,,,
123804,FACE,ANTI-AGE,ANTI-AGE,LA ROCHE POSAY,LA ROCHE POSAY,SERUM 1 30 ML,,CAM,,,
130800,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,ACGLICOLIC S GEL HIDRATANTE 50 ML,,MEXICO,,,
130810,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,AC GLICOLIC 20 GEL HIDRATANTE 50ML,,MEXICO,,,
130812,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,ACGLICOLIC CRA CLASSIC HIDRATANTE 50ML,,MEXICO,,,
130815,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,ACGLICOLIC SUERO LIPOSOMAL 30ML,,MEXICO,,,
130830,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,SESDERMA,ACGLICOLIC CRA HIDRATANTE 50ML,,MEXICO,,,
203401,FACE,ANTI-AGE,ANTI-AGE,SESDERMA,SESDERMA,CR.HIDR.FP15 1 50 ML,,CAM,,,
203402,FACE,ANTI-AGE,ANTI-AGE,SESDERMA,SESDERMA,CR.GEL FORT 1 50 ML,,CAM,,,
203403,FACE,ANTI-AGE,ANTI-AGE,SESDERMA,SESDERMA,CREMA NUTRIT 1 50 ML,,CAM,,,
203404,FACE,ANTI-AGE,ANTI-AGE,SESDERMA,SESDERMA,LEC HID CORP 1 200 ML,,CAM,,,
205801,FACE,ANTI-AGE,ANTI-AGE,SESDERMA,SESDERMA,CR.GEL HIDR. 1 50 ML,,CAM,,,
207030,FACE,ACNE,ACNE CLEANS,SIEGFRIED,SIEGFRIED,LIQD 2 % 1 120 ML,,CAM,,,
218510,FACE,ACNE,ACNE CLEANS,OTROS LAB,GRISI,ACNEBAR BARRA 100 G,Sensitive Skin/ basic sun protection,MEXICO,,,
218520,FACE,ACNE,ACNE CLEANS,OTROS LAB,STIEFEL,ACNEBAR JBN 100GR+ AXEL CONTR CRA,,MEXICO,,,
218530,FACE,ACNE,ACNE CLEANS,OTROS LAB,STIEFEL,ACNEBAR JBN 100GR+ AXEL CONTR SOLN,,MEXICO,,,
218910,FACE,ACNE,ACNE CLEANS,OTROS LAB,STIEFEL,ACNAID WASH LIMP FA 150 ML,,MEXICO,,,
218920,FACE,ACNE,ACNE CLEANS,OTROS LAB,STIEFEL,ACNAID JABON BARRA 100 G,,MEXICO,,,
219710,FACE,ACNE,ACNE CLEANS,OTROS LAB,GLENMARK,ACNIPOP BARRA DERMOL 90 G,,MEXICO,,,
